"state","StateCount","AverageAge","MaxAge","MinAge"
"VA","8","72.83750","85.3","65.7"
"OH","7","62.87143","72.5","49.9"
"MA","4","72.63333","90.7","46.5"
"NY","4","69.32500","79.7","60.2"
"TX","2","71.45000","78.5","64.4"
"NC","2","60.15000","66.6","53.7"
"VT","2","58.85000","60.5","57.2"
"CA","1","81.30000","81.3","81.3"
"NH","1","64.90000","64.9","64.9"
"CT","1",\N,\N,\N
"NJ","1","71.30000","71.3","71.3"
"NE","1","93.50000","93.5","93.5"
"PA","1","77.20000","77.2","77.2"
"IA","1","90.30000","90.3","90.3"
"SC","1","78.30000","78.3","78.3"
"GA","1",\N,\N,\N
"KY","1","56.20000","56.2","56.2"
"MO","1","88.70000","88.7","88.7"
"IL","1","93.40000","93.4","93.4"
"AR","1",\N,\N,\N
